City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1382,Dharmanagar,IN,24.3667,92.1667,80.51,53,95,2.64,overcast clouds
1383,Taywarah,AF,33.35,64.4167,36.61,63,75,8.37,broken clouds
1384,Zamosc,PL,50.7231,23.252,28.24,53,67,10.31,broken clouds
1385,Tsaratanana,MG,-16.7833,47.65,84.33,48,16,11.54,few clouds
1386,Hauterive,FR,46.0901,3.4459,56.16,85,100,12.53,overcast clouds
1387,Araouane,ML,18.9048,-3.5265,64.09,22,31,11.77,scattered clouds
1388,Collie,AU,-33.3667,116.15,84.97,24,4,7.07,clear sky
1389,Oriximina,BR,-1.7656,-55.8661,73.06,97,70,1.52,broken clouds
1390,Sucua,EC,-2.4667,-78.1667,67.08,99,98,2.71,overcast clouds
1391,Fougamou,GA,-1.2154,10.5838,73.15,97,100,1.23,overcast clouds
1392,Pucallpa,PE,-8.3791,-74.5539,74.25,84,80,1.88,broken clouds
1393,Guaira,BR,-20.3183,-48.3106,71.87,75,10,4.76,clear sky
1394,Maningrida,AU,-12.0667,134.2667,88.09,62,100,8.84,overcast clouds
1395,Norsup,VU,-16.0667,167.3833,82.83,74,89,9.4,overcast clouds
1396,Tupa,BR,-21.9347,-50.5136,67.41,74,0,11.39,clear sky
1397,Kandi,BJ,11.1342,2.9386,69.17,24,47,4.56,scattered clouds
1398,Apollonia,GR,36.9716,24.7231,61.92,77,100,32.75,overcast clouds
1399,Fougeres,FR,48.35,-1.2,51.66,77,100,21.74,overcast clouds
1400,Pangody,RU,65.85,74.4859,-11.33,90,100,4.99,overcast clouds
1401,Kastamonu,TR,41.5,33.6667,37.42,77,81,1.01,broken clouds
1402,Fiumicino,IT,41.7675,12.2291,45.61,85,0,5.75,clear sky
1403,Dabat,ET,12.9842,37.765,59.45,35,0,5.66,clear sky
1404,Kalaleh,IR,37.3807,55.4916,51.4,71,0,0.0,clear sky
1405,Qunduz,AF,36.729,68.857,52.77,57,100,5.28,overcast clouds
1406,Sterling,US,39.0062,-77.4286,47.64,74,75,3.0,broken clouds
1407,Mesyagutovo,RU,55.5303,58.2528,35.31,97,100,15.95,overcast clouds
1408,Ipubi,BR,-7.6519,-40.1489,72.63,80,76,2.55,light rain
1409,Cabinda,AO,-5.55,12.2,80.74,89,75,5.75,light rain
1410,Pavlodar,KZ,52.3,76.95,28.2,80,90,22.37,overcast clouds
1411,Motala,SE,58.5371,15.0365,24.58,80,98,3.0,overcast clouds
1412,Aljustrel,PT,37.8776,-8.1652,50.13,92,17,2.86,few clouds
1413,Tukrah,LY,32.5341,20.5791,60.12,74,88,10.09,overcast clouds
1414,Macas,EC,-2.3167,-78.1167,66.87,99,99,2.06,overcast clouds
1415,Christchurch,NZ,-43.5333,172.6333,77.2,47,32,11.5,scattered clouds
1416,Lages,BR,-27.8161,-50.3261,56.39,89,93,5.55,overcast clouds
1417,Papara,BR,-3.9839,-38.7273,81.72,82,94,3.15,overcast clouds
1418,Sanchor,IN,24.7553,71.7722,78.87,32,0,4.59,clear sky
1419,Vila Velha,BR,-20.3297,-40.2925,69.94,93,40,2.3,scattered clouds
1420,Greifswald,DE,54.1,13.3833,40.1,92,100,11.39,overcast clouds
1421,Durban,ZA,-29.8579,31.0292,73.02,89,100,4.0,overcast clouds
1422,Chibombo,ZM,-14.6569,28.0706,80.74,30,0,10.87,clear sky
1423,Fort Saint James,CA,54.4333,-124.25,20.07,88,29,3.74,scattered clouds
1424,Tamandare,BR,-8.7597,-35.1047,76.68,87,27,7.47,scattered clouds
1425,Chuka,KE,-0.3332,37.6459,66.83,82,47,1.95,light rain
1426,Korem,ET,12.5058,39.5228,52.66,62,0,5.46,clear sky
1427,Griffith,US,41.5284,-87.4237,39.15,90,1,1.01,clear sky
1428,Barranca,PE,-10.75,-77.7667,64.58,90,97,6.38,overcast clouds
1429,Temozon,MX,20.8,-88.2167,66.65,94,53,2.06,broken clouds
1430,Muscatine,US,41.4667,-91.1335,39.04,74,1,1.99,clear sky
1431,Nizhniy Odes,RU,63.6445,54.856,-6.63,95,83,6.85,broken clouds
1432,Kassala,SD,15.451,36.4,77.0,58,0,11.12,clear sky
1433,Payson,US,40.0444,-111.7321,47.41,65,0,1.99,clear sky
1434,Drexel Heights,US,32.1412,-111.0284,63.68,44,1,4.61,clear sky
1435,Sorumsand,NO,59.9851,11.2398,22.5,91,100,4.68,overcast clouds
1436,Burley,US,42.5357,-113.7928,38.68,86,1,0.0,clear sky
1437,Gairo,IT,39.8497,9.5047,38.41,87,1,6.93,clear sky
1438,Silver City,US,32.7701,-108.2803,51.62,47,75,5.01,broken clouds
