City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Opuwo,NA,2021-11-29 21:10:05,-18.0607,13.84,75.15,24,84,6.29
116,Vanimo,PG,2021-11-29 21:10:06,-2.6741,141.3028,77.88,89,100,2.46
117,Puerto Madryn,AR,2021-11-29 21:10:06,-42.7692,-65.0385,67.78,43,2,10.92
118,Lagoa,PT,2021-11-29 21:10:06,39.05,-27.9833,60.78,57,72,3.69
119,Kapaa,US,2021-11-29 21:10:07,22.0752,-159.319,84.18,69,20,5.01
120,Puerto Ayora,EC,2021-11-29 21:10:07,-0.7393,-90.3518,78.76,89,75,8.01
121,Sao Filipe,CV,2021-11-29 21:10:07,14.8961,-24.4956,75.72,68,95,13.51
122,Mbandaka,CD,2021-11-29 21:10:07,0.0487,18.2603,71.02,86,99,1.43
123,Basoko,CD,2021-11-29 21:10:08,1.2391,23.616,70.95,96,100,2.1
124,Auki,SB,2021-11-29 21:10:08,-8.7676,160.7034,81.27,80,97,3.85
125,Alto Araguaia,BR,2021-11-29 21:10:08,-17.3147,-53.2153,78.51,78,78,7.96
126,Broken Hill,AU,2021-11-29 21:10:09,-31.95,141.4333,71.83,51,44,6.46
127,Methven,NZ,2021-11-29 21:10:09,-43.6333,171.65,63.37,62,100,5.73
128,Ures,MX,2021-11-29 21:10:09,29.4333,-110.4,85.28,23,10,2.91
129,Sinnamary,GF,2021-11-29 21:10:09,5.3833,-52.95,79.63,85,100,7.7
130,Teahupoo,PF,2021-11-29 21:06:02,-17.8333,-149.2667,78.76,80,93,19.44
131,Sao Joao Da Barra,BR,2021-11-29 21:10:10,-21.6403,-41.0511,80.69,90,3,13.44
132,Talnakh,RU,2021-11-29 21:10:10,69.4865,88.3972,-16.8,97,99,6.31
133,Souillac,MU,2021-11-29 21:11:10,-20.5167,57.5167,74.35,83,20,4.61
134,Tiksi,RU,2021-11-29 21:11:11,71.6872,128.8694,-22.49,100,95,5.97
135,Goroka,PG,2021-11-29 21:11:11,-6.0834,145.3873,63.25,93,100,0.81
136,Lac-Megantic,CA,2021-11-29 21:11:11,45.5834,-70.8823,23.02,88,89,5.48
137,Alta Floresta,BR,2021-11-29 21:07:35,-9.8756,-56.0861,75.61,93,100,2.59
138,San Patricio,US,2021-11-29 21:11:11,28.017,-97.5169,74.05,40,32,3.98
139,Narasannapeta,IN,2021-11-29 21:11:12,18.4167,84.05,70.18,70,20,5.37
140,Milkovo,RU,2021-11-29 21:11:12,54.7167,158.6167,10.08,95,100,1.36
141,Salalah,OM,2021-11-29 21:11:12,17.0151,54.0924,80.69,29,0,14.97
