City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1621,Araxa,BR,62.06,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
1623,Douala,CM,79.92,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
1627,Baikunthpur,IN,78.76,broken clouds,23.25,82.55,Hotel Shree Annpurna inn
1629,Ormara,PK,75.27,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
1631,Saiha,IN,75.69,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
1633,Placido De Castro,BR,72.81,overcast clouds,-10.3353,-67.1856,Hotel Carioca
1640,Berasia,IN,73.85,clear sky,23.6333,77.4333,Kala Bazar And Art's
1641,Ngaoundere,CM,75.85,broken clouds,7.3167,13.5833,Hotel Mentong Palace
1643,Praia Da Vitoria,PT,63.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
1645,Governador Valadares,BR,68.25,overcast clouds,-18.8511,-41.9494,Hotel Panorama
1646,Garh Maharaja,PK,76.78,clear sky,30.8339,71.9053,Zaki Pansar Shop
1652,Jacareacanga,BR,72.77,light rain,-6.2222,-57.7528,Casa do Ian😎
1653,General Pico,AR,60.44,light rain,-35.6566,-63.7568,Euskadi Hotel
1654,Montes Altos,BR,77.49,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
1655,Kawambwa,ZM,77.74,clear sky,-9.7915,29.0791,Chembe Nsofu
1657,Santa Cruz,BO,72.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
1661,Toma,BF,71.87,broken clouds,12.7667,-2.8833,Auberge de l'amitié
1663,Shahdadkot,PK,79.27,clear sky,27.8477,67.9055,Gold Star
1669,Ascension,US,60.8,mist,30.2169,-90.9001,Highland Inn
1673,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
1678,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
1683,Murray Bridge,AU,74.46,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
1684,Mazamari,PE,68.59,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
1687,Navirai,BR,70.81,clear sky,-23.065,-54.1906,Dubai Hotel - Também sua casa!
1689,Yokadouma,CM,76.41,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
1690,Deoband,IN,77.81,clear sky,29.7,77.6833,Anupam Hotel
1692,Taunggyi,MM,72.3,overcast clouds,20.7833,97.0333,True Treasure Hotel
1697,Opunake,NZ,63.63,overcast clouds,-39.4556,173.8583,Walton Cottage
1704,Moerai,PF,77.49,overcast clouds,-22.4333,-151.3333,Le Manotel
1705,Carmen,MX,75.65,clear sky,18.6333,-91.8333,Hotel Lossandes
1708,Nautla,MX,71.65,broken clouds,20.2167,-96.7833,Casa Blanca
1709,Asosa,ET,78.76,clear sky,10.0667,34.5333,Blendana Hotel Assosa
1715,Launceston,AU,66.79,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
1719,Linhares,BR,68.34,overcast clouds,-19.3911,-40.0722,Hotel Conceição
1720,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
1724,Mattru,SL,73.78,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
1729,Victor Harbor,AU,74.8,clear sky,-35.5667,138.6167,McCracken Country Club
1731,Bodden Town,KY,79.93,few clouds,19.2833,-81.25,Will T Place
1733,Cascavel,BR,63.32,clear sky,-24.9558,-53.4553,Grand Prix Hotel
